sample,fastq_1,fastq_2
GTSAMPLE2045-1,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2045-1_S1_R1_001.fastq.gz,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2045-1_S1_R2_001.fastq.gz
GTSAMPLE2045-2,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2045-2_S2_R1_001.fastq.gz,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2045-2_S2_R2_001.fastq.gz
GTSAMPLE2045-3,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2045-3_S3_R1_001.fastq.gz,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2045-3_S3_R2_001.fastq.gz
GTSAMPLE2045-4,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2045-4_S4_R1_001.fastq.gz,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2045-4_S4_R2_001.fastq.gz
GTSAMPLE2045-5,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2045-5_S5_R1_001.fastq.gz,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2045-5_S5_R2_001.fastq.gz
GTSAMPLE2045-6,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2045-6_S6_R1_001.fastq.gz,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2045-6_S6_R2_001.fastq.gz
GTSAMPLE2045-7,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2045-7_S7_R1_001.fastq.gz,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2045-7_S7_R2_001.fastq.gz
GTSAMPLE2046-1,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2046-1_S8_R1_001.fastq.gz,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2046-1_S8_R2_001.fastq.gz
GTSAMPLE2046-2,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2046-2_S9_R1_001.fastq.gz,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2046-2_S9_R2_001.fastq.gz
GTSAMPLE2046-3,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2046-3_S10_R1_001.fastq.gz,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2046-3_S10_R2_001.fastq.gz
GTSAMPLE2046-4,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2046-4_S11_R1_001.fastq.gz,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2046-4_S11_R2_001.fastq.gz
GTSAMPLE2046-5,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2046-5_S12_R1_001.fastq.gz,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2046-5_S12_R2_001.fastq.gz
GTSAMPLE2046-6,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2046-6_S13_R1_001.fastq.gz,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2046-6_S13_R2_001.fastq.gz
GTSAMPLE2046-7,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2046-7_S14_R1_001.fastq.gz,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2046-7_S14_R2_001.fastq.gz
GTSAMPLE2046-8,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2046-8_S15_R1_001.fastq.gz,../data/raw_data/240426_A01959_0054_BHVH2HDMXY/GTSAMPLE2046-8_S15_R2_001.fastq.gz
